# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = area_model
# start_datetime = 2024-02-24 12:43:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = area_data.json
# init = 2 (Default)
# random
#   seed = 3796781396 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mean_a,sd_a
# Adaptation terminated
# Step size = 0.328265
# Diagonal elements of inverse mass matrix:
# 2.22253, 1.28604
-2.04519,0.994586,0.328265,2,3,0,2.04522,0.338602,1.20176
-0.226739,1,0.328265,3,7,0,2.06934,2.39758,4.78782
-1.5011,0.989381,0.328265,3,7,0,1.65222,0.58529,2.24801
0.27865,0.987067,0.328265,3,11,0,2.36613,7.10943,6.17555
-1.0968,0.735716,0.328265,4,15,0,1.43664,77.1443,43.0769
0.290292,1,0.328265,3,15,0,1.00055,5.47744,6.16557
0.289592,0.999006,0.328265,2,3,0,-0.253288,5.68667,6.10313
0.393115,0.951225,0.328265,2,7,0,2.03761,13.5111,29.3617
0.312554,0.983985,0.328265,2,3,0,0.0672108,43.028,33.7677
0.561292,1,0.328265,3,7,0,-0.209462,23.0601,32.7612
-0.0367555,0.950006,0.328265,2,5,0,0.521363,13.1083,39.8277
0.795215,0.445342,0.328265,2,3,0,1.10426,20.8487,21.0785
0.525484,0.989407,0.328265,2,7,0,-0.144347,7.31274,8.53207
0.0199171,0.974295,0.328265,2,3,0,0.0958652,7.58972,5.34705
0.0199171,0.158759,0.328265,2,3,0,3.13171,7.58972,5.34705
0.235544,0.948689,0.328265,2,7,0,2.52062,13.2575,32.9958
0.190493,0.958162,0.328265,3,7,0,1.23743,46.2342,42.2582
