# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mean_sd_model
# start_datetime = 2024-02-24 12:01:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = mean_sd_data.json
# init = 2 (Default)
# random
#   seed = 3794250660 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mean_x,mean_y,sigma_x,sigma_y
# Adaptation terminated
# Step size = 0.362684
# Diagonal elements of inverse mass matrix:
# 0.207654, 0.16358, 0.207514, 0.240474
-2.58414,0.169576,0.362684,3,7,0,8.00651,2.76664,3.86963,1.22547,0.907071
0.659649,0.990234,0.362684,3,7,0,3.60386,1.99069,4.01447,0.675814,0.637032
-0.609069,0.834084,0.362684,2,3,0,4.51218,2.51702,3.98712,0.601539,0.705987
-1.78255,0.945892,0.362684,3,7,0,3.70484,1.61163,3.92736,0.498457,0.635219
-0.224458,1,0.362684,2,3,0,2.30704,1.82068,3.85072,0.646919,0.64745
-2.48948,0.834502,0.362684,2,3,0,3.12936,1.72625,3.6265,0.674011,0.523778
-1.0158,1,0.362684,3,7,0,3.12662,2.39881,4.33266,0.579178,1.04019
-0.417037,1,0.362684,3,7,0,1.7511,1.83217,3.90401,0.499518,0.748042
-3.7504,0.939753,0.362684,2,3,0,4.27373,2.36147,3.48811,0.359951,0.768041
-0.730437,1,0.362684,2,3,0,4.46492,2.05877,3.87987,0.441579,1.03674
-0.869421,0.892494,0.362684,3,7,0,3.48603,2.42442,3.88983,0.875994,0.423863
-0.0662367,0.691045,0.362684,2,3,0,5.9829,1.99252,4.1985,1.03655,0.33576
-0.317925,0.987539,0.362684,3,7,0,1.47874,2.18743,4.16733,0.327111,0.521256
-1.04049,0.862094,0.362684,3,7,0,3.85677,2.10359,4.01039,1.28897,0.384373
-1.77264,0.992125,0.362684,4,15,0,3.94669,1.3291,3.95288,1.15383,0.592618
-0.204719,0.982192,0.362684,3,7,0,2.96058,1.83369,4.53497,0.671273,0.508661
0.386339,1,0.362684,3,7,0,1.12352,2.30508,4.47097,0.568799,0.55513
-0.326263,0.967238,0.362684,3,7,0,1.81492,2.07911,4.39198,1.12714,0.486281
-0.613716,0.874435,0.362684,3,7,0,3.88046,2.25407,4.01921,0.413266,0.318579
-0.623581,0.9406,0.362684,3,7,0,2.54251,1.85757,4.34267,0.744702,0.947667
0.565153,0.991933,0.362684,3,7,0,1.281,2.0525,4.48304,0.62985,0.581383
0.66849,0.995369,0.362684,3,7,0,0.109731,2.12183,4.29797,0.451699,0.694803
1.23429,1,0.362684,3,7,0,-0.515883,2.06883,4.25369,0.6469,0.538509
-1.40528,0.887438,0.362684,3,7,0,1.84174,2.8605,4.23007,1.38248,0.40897
-1.01924,0.685291,0.362684,3,7,0,5.118,2.6028,4.48194,0.973,0.616708
-4.73502,0.925729,0.362684,3,15,0,6.33186,1.78195,4.79855,0.527268,2.49353
-3.71264,0.966556,0.362684,3,7,0,6.55467,2.27797,5.18876,1.01481,1.29234
-3.40328,0.962882,0.362684,3,7,0,5.34716,2.25744,5.2794,0.53441,0.976802
0.311549,0.979485,0.362684,3,7,0,4.72482,1.97823,4.0524,0.442664,0.721386
0.526093,0.949755,0.362684,3,7,0,0.576036,2.36031,4.05054,0.771324,0.523832
0.48978,0.989015,0.362684,2,7,0,-0.118006,2.43632,4.182,0.658977,0.574786
0.0246216,0.991147,0.362684,3,7,0,0.68902,2.19141,4.33646,0.775738,0.796114
-2.44546,0.941353,0.362684,3,7,0,2.903,1.97146,5.02513,0.429844,0.905628
-7.88891,0.744572,0.362684,3,7,0,11.058,1.88471,3.14019,1.20981,0.616828
-3.49792,1,0.362684,3,7,0,7.83231,2.40707,4.11542,0.590533,2.02735
-1.2586,0.98711,0.362684,3,7,0,4.32277,1.7977,4.57725,0.501943,0.921532
-2.30468,0.979387,0.362684,2,3,0,3.01667,2.28492,4.72768,0.361508,0.914644
-0.0379625,1,0.362684,3,7,0,2.18973,2.04393,4.23185,1.12484,0.37901
-1.36675,0.939094,0.362684,3,7,0,2.31849,1.78693,3.91641,0.403077,0.641434
0.909218,0.859066,0.362684,3,7,0,4.32051,2.32512,4.08326,0.608957,0.423767
1.36935,0.997607,0.362684,2,7,0,-0.769159,2.02375,4.19981,0.637725,0.430895
0.839496,0.940862,0.362684,3,7,0,0.0875792,2.14311,4.25254,0.569918,0.699583
